user,session,timepress,timerelease,keycode,keyname
5,17,781,875,100,numpad_4
5,17,1110,1188,97,numpad_1
5,17,1469,1563,105,numpad_9
5,17,1813,1906,99,numpad_3
5,17,2266,2344,103,numpad_7
5,17,2547,2625,103,numpad_7
5,17,2828,2906,102,numpad_6
5,17,3250,3344,97,numpad_1
5,17,3625,3750,13,enter
5,18,0,79,105,numpad_9
5,18,532,610,97,numpad_1
5,18,829,922,100,numpad_4
5,18,1125,1219,97,numpad_1
5,18,1485,1579,105,numpad_9
5,18,1813,1907,99,numpad_3
5,18,2282,2360,103,numpad_7
5,18,2516,2610,103,numpad_7
5,18,2829,2907,102,numpad_6
5,18,3297,3391,97,numpad_1
5,18,3750,3875,13,enter
5,19,0,93,105,numpad_9
5,19,468,562,97,numpad_1
5,19,703,765,100,numpad_4
5,19,937,1015,97,numpad_1
5,19,1296,1375,105,numpad_9
5,19,1546,1625,99,numpad_3
5,19,2046,2125,103,numpad_7
5,19,2203,2281,103,numpad_7
5,19,2500,2578,102,numpad_6
5,19,2875,2968,97,numpad_1
5,19,3218,3343,13,enter
6,0,0,62,105,numpad_9
6,0,343,422,97,numpad_1
6,0,593,656,100,numpad_4
6,0,828,906,97,numpad_1
6,0,1093,1172,105,numpad_9
6,0,1343,1406,99,numpad_3
6,0,1625,1687,103,numpad_7
6,0,1828,1890,103,numpad_7
6,0,2093,2172,102,numpad_6
6,0,2406,2484,97,numpad_1
6,0,2734,2797,13,enter
6,1,0,46,105,numpad_9
6,1,359,437,97,numpad_1
6,1,562,625,100,numpad_4
6,1,781,859,97,numpad_1
6,1,1093,1171,105,numpad_9
6,1,1375,1437,99,numpad_3
6,1,1671,1734,103,numpad_7
6,1,1828,1906,103,numpad_7
6,1,2093,2156,102,numpad_6
